,GICS Sector,GICS Sub-Industry,Name,open,high,low,close,daily_gain,daily_volatility,daily_gain%,volatility%
25,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",NKE,48.76229539316919,49.16320349483717,48.36645830023826,48.77831175536133,0.016016362192216114,0.7967451945988887,0.032837649125480914,1.6113120819363773
46,Consumer Discretionary,Home Furnishings,LEG,41.98086179507548,42.31439936457499,41.63541930103261,41.99123113582208,0.01036934074662432,0.6789800635424933,0.03283677642344296,1.635381116101101
305,Information Technology,Application Software,CRM,69.08715583796659,69.82770381254959,68.33654797458307,69.10968625893575,0.022530420969022753,1.4911558379666372,0.03256248264650881,2.2654256017440484
91,Consumer Staples,Packaged Foods & Meats,HRL,29.8307457505957,30.066191421763268,29.591325019857006,29.837982525814194,0.00723677521842734,0.4748664019062751,0.03247607843799953,1.5538212778580822
152,Financials,Insurance Brokers,AJG,48.610432883240634,48.92056004765691,48.29175234312952,48.62541699761719,0.014984114376489081,0.6288077045274026,0.032045748283167155,1.302451781461964
252,Industrials,Air Freight & Logistics,UPS,102.51018268467054,103.14105464654476,101.90823407466237,102.54175536139788,0.03157267672756201,1.2328205718824468,0.03191845557549432,1.2011271623846076
16,Communication Services,Movies & Entertainment,NFLX,94.85403240667185,96.18729825258117,93.48348729150094,94.90615210484518,0.05211969817315311,2.7038109610802197,0.031871633829804485,2.9914961755817244
300,Industrials,Trucking,JBHT,83.01665607625112,83.76298721207296,82.28650381254965,83.04664376489282,0.02998768864177923,1.4764833995234317,0.031463530259280566,1.7794156912957082
392,Real Estate,Residential REITs,UDR,32.09409849086581,32.36461048451154,31.817857664813438,32.10366957903095,0.009571088165210415,0.5467528196981722,0.031429645968372485,1.7109001012476739
144,Financials,Diversified Banks,USB,43.84909777601274,44.14868006354247,43.55864535345515,43.86176727561552,0.012669499602859624,0.5900347100873718,0.031094207083382033,1.3503423808442487
185,Financials,Thrifts & Mortgage Finance,PBCT,15.79307871326448,15.918613661636208,15.662490309769659,15.797397855440847,0.004319142176330416,0.2561233518665601,0.03082431534718028,1.6173502381713754
270,Industrials,Electrical Components & Equipment,ETN,67.76611199364577,68.34505591739483,67.17929586973794,67.78467831612392,0.01856632247815731,1.165760047656872,0.030655392493462347,1.7552036808933573
317,Information Technology,Data Processing & Outsourced Services,MA,93.22255718824445,93.93634289118354,92.51596560762515,93.2537791898332,0.031222001588562004,1.4203772835583803,0.03043338464539663,1.5529863858669584
206,Health Care,Health Care Equipment,HOLX,32.3150198570294,32.62617768069898,31.992279269261296,32.325293089753806,0.010273232724384487,0.6338984114376495,0.030340242212193946,1.9820866046817047
99,Consumer Staples,Personal Products,EL,83.94429221604442,84.58924471803016,83.33329451945986,83.97610802223979,0.03181580619539304,1.255950198570293,0.030213431785496674,1.5063777609567095
